State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13
1	0.9169248643828285	0.030766480509364345	0.03918441950383492	0.005742078068570988	0.0	0.0029423092937169485	8.659349642198988E-4	0.0	0.0	7.295166563642043E-4	0.0	8.43650768118371E-4	0.00200074585298174
2	0.0018864987616687811	0.9959524769840573	5.40022385822374E-4	1.700187820050995E-4	0.0	0.0	0.0	0.0	3.820522914334301E-7	1.429341393759812E-4	2.713713744408666E-5	2.065870119353486E-4	0.001073942745399852
3	0.002633248827742806	6.314109067758917E-4	0.9687414622665188	4.641690612444759E-4	5.125225246511437E-4	0.012093395086072897	9.489716856318245E-4	4.838695857115469E-5	2.2857447447762698E-5	7.769870501222891E-4	2.2026139852340454E-4	0.006308519963763458	0.006597806822933951
4	0.05565743523467794	0.025909166956358164	0.06731725306818749	0.807913734184382	6.553971345103661E-5	1.4847955851384953E-4	2.362812712793286E-4	1.1991628266305694E-4	0.0	0.03954500343468487	6.711567608708673E-5	3.0395975244706013E-6	0.003017035022190653
5	4.910475065800328E-5	2.7608484800804185E-8	0.017925334552931726	1.036999241001615E-5	0.956343211289821	0.002436218930404158	8.615823952518617E-4	0.0	0.0	0.0	0.020902435292977146	0.0	0.0014717151870613353
6	0.0030074884633845013	3.8163331966520793E-8	0.2097192963911494	5.30511420089298E-5	0.0012302453864251534	0.6430117658757918	0.0820605138054798	0.008336122517219009	0.0	0.0013871737094916384	0.012928002930640663	0.03302943981254567	0.005236861802531493
7	0.002852795780609963	0.0	0.04189980002843992	0.0	7.782327833075474E-4	0.2081346455956289	0.5861205590107227	0.15608131073688802	0.0	0.0	0.0	0.002790084308759044	0.0013425717556438703
8	7.02006754270417E-5	0.0	0.0039014597133832565	6.70071105249336E-5	0.0	0.029718993600204874	0.23857994980137465	0.6614591831970328	0.010652930714022868	0.0	0.006471898555774091	0.047713397101139254	0.0013649795311162412
9	2.5551147758157814E-5	0.0	0.0017628227449636785	0.0	0.0	0.0	0.0	0.012321200865389924	0.8119672371386575	0.09942868195820512	0.058121934986368036	0.01609868824681677	2.7388291184115345E-4
10	0.005437474467454346	0.01234347172149152	0.06893209337977663	0.026246131829273458	0.0	0.006700635077518307	0.0	0.0	0.12185061642836481	0.655877738805965	0.00582810228127224	0.08782968658650069	0.008954049422383054
11	4.45359176557888E-5	0.003693050717857726	0.025718505269530546	0.0	0.06715895328629005	0.08343923373232465	0.0	0.01192427154423291	0.0811178921623167	0.006768185422569745	0.7193901948520216	0.0	7.451770952001563E-4
12	0.0026123229246117056	0.008216029964712155	0.2513626156429518	0.0	0.0	0.07393980483680103	0.0031078472632500424	0.028209371548780154	0.008913635440048324	0.0388321846622381	0.0	0.5689612145247953	0.015844973191811367
13	0.008538233427863317	0.07674288360458793	0.4460921627542803	0.0015650467862198772	0.0031562478663070517	0.020705378992635012	0.0025644930426729894	0.0013878120473859064	3.164635725795181E-4	0.006469538140000516	4.3163316703385957E-4	0.025294560918734492	0.40673554567969916
